😀	obraz, režanje, režeči obraz
👨‍🎤	fant, igralec, komik, moški, pevec, roker, zabavljač, zvezdnik
👨🏻‍🎤	fant, igralec, komik, moški, pevec, pevec: svetel ten kože, roker, svetel ten kože, zabavljač, zvezdnik
👨🏼‍🎤	fant, igralec, komik, moški, pevec, pevec: srednje svetel ten kože, roker, srednje svetel ten kože, zabavljač, zvezdnik
👨🏽‍🎤	fant, igralec, komik, moški, pevec, pevec: srednji ten kože, roker, srednji ten kože, zabavljač, zvezdnik
👨🏾‍🎤	fant, igralec, komik, moški, pevec, pevec: srednje temen ten kože, roker, srednje temen ten kože, zabavljač, zvezdnik
👨🏿‍🎤	fant, igralec, komik, moški, pevec, pevec: temen ten kože, roker, temen ten kože, zabavljač, zvezdnik
👩‍🎤	dekle, igralka, pevka, rokerica, zabavljačica, zvezdnica, ženska
👩🏻‍🎤	dekle, igralka, pevka, pevka: svetel ten kože, rokerica, svetel ten kože, zabavljačica, zvezdnica, ženska
👩🏼‍🎤	dekle, igralka, pevka, pevka: srednje svetel ten kože, rokerica, srednje svetel ten kože, zabavljačica, zvezdnica, ženska
👩🏽‍🎤	dekle, igralka, pevka, pevka: srednji ten kože, rokerica, srednji ten kože, zabavljačica, zvezdnica, ženska
👩🏾‍🎤	dekle, igralka, pevka, pevka: srednje temen ten kože, rokerica, srednje temen ten kože, zabavljačica, zvezdnica, ženska
👩🏿‍🎤	dekle, igralka, pevka, pevka: temen ten kože, rokerica, temen ten kože, zabavljačica, zvezdnica, ženska
👨‍🎨	fant, moški, paleta, slikar, umetnik, umetnost
👨🏻‍🎨	fant, moški, paleta, slikar, svetel ten kože, umetnik, umetnik: svetel ten kože, umetnost
👨🏼‍🎨	fant, moški, paleta, slikar, srednje svetel ten kože, umetnik, umetnik: srednje svetel ten kože, umetnost
👨🏽‍🎨	fant, moški, paleta, slikar, srednji ten kože, umetnik, umetnik: srednji ten kože, umetnost
👨🏾‍🎨	fant, moški, paleta, slikar, srednje temen ten kože, umetnik, umetnik: srednje temen ten kože, umetnost
👨🏿‍🎨	fant, moški, paleta, slikar, temen ten kože, umetnik, umetnik: temen ten kože, umetnost
👩‍🎨	dekle, paleta, slikarka, umetnica, umetnost, ženska
👩🏻‍🎨	dekle, paleta, slikarka, svetel ten kože, umetnica, umetnica: svetel ten kože, umetnost, ženska
👩🏼‍🎨	dekle, paleta, slikarka, srednje svetel ten kože, umetnica, umetnica: srednje svetel ten kože, umetnost, ženska
👩🏽‍🎨	dekle, paleta, slikarka, srednji ten kože, umetnica, umetnica: srednji ten kože, umetnost, ženska
👩🏾‍🎨	dekle, paleta, slikarka, srednje temen ten kože, umetnica, umetnica: srednje temen ten kože, umetnost, ženska
👩🏿‍🎨	dekle, paleta, slikarka, temen ten kože, umetnica, umetnica: temen ten kože, umetnost, ženska
👨‍✈	fant, letalo, moški, pilot, stevard
👨🏻‍✈	fant, letalo, moški, pilot, pilot: svetel ten kože, stevard, svetel ten kože
👨🏼‍✈	fant, letalo, moški, pilot, pilot: srednje svetel ten kože, srednje svetel ten kože, stevard
👨🏽‍✈	fant, letalo, moški, pilot, pilot: srednji ten kože, srednji ten kože, stevard
👨🏾‍✈	fant, letalo, moški, pilot, pilot: srednje temen ten kože, srednje temen ten kože, stevard
👨🏿‍✈	fant, letalo, moški, pilot, pilot: temen ten kože, stevard, temen ten kože
👩‍✈	dekle, letalo, pilotka, stevardesa, ženska
👩🏻‍✈	dekle, letalo, pilotka, pilotka: svetel ten kože, stevardesa, svetel ten kože, ženska
👩🏼‍✈	dekle, letalo, pilotka, pilotka: srednje svetel ten kože, srednje svetel ten kože, stevardesa, ženska
👩🏽‍✈	dekle, letalo, pilotka, pilotka: srednji ten kože, srednji ten kože, stevardesa, ženska
👩🏾‍✈	dekle, letalo, pilotka, pilotka: srednje temen ten kože, srednje temen ten kože, stevardesa, ženska
👩🏿‍✈	dekle, letalo, pilotka, pilotka: temen ten kože, stevardesa, temen ten kože, ženska
👨‍🚀	astronavt, fant, moški, raketa, vesolje
👨🏻‍🚀	astronavt, astronavt: svetel ten kože, fant, moški, raketa, svetel ten kože, vesolje
👨🏼‍🚀	astronavt, astronavt: srednje svetel ten kože, fant, moški, raketa, srednje svetel ten kože, vesolje
👨🏽‍🚀	astronavt, astronavt: srednji ten kože, fant, moški, raketa, srednji ten kože, vesolje
👨🏾‍🚀	astronavt, astronavt: srednje temen ten kože, fant, moški, raketa, srednje temen ten kože, vesolje
👨🏿‍🚀	astronavt, astronavt: temen ten kože, fant, moški, raketa, temen ten kože, vesolje
👩‍🚀	astronavtka, dekle, raketa, vesolje, ženska
👩🏻‍🚀	astronavtka, astronavtka: svetel ten kože, dekle, raketa, svetel ten kože, vesolje, ženska
👩🏼‍🚀	astronavtka, astronavtka: srednje svetel ten kože, dekle, raketa, srednje svetel ten kože, vesolje, ženska
👩🏽‍🚀	astronavtka, astronavtka: srednji ten kože, dekle, raketa, srednji ten kože, vesolje, ženska
👩🏾‍🚀	astronavtka, astronavtka: srednje temen ten kože, dekle, raketa, srednje temen ten kože, vesolje, ženska
👩🏿‍🚀	astronavtka, astronavtka: temen ten kože, dekle, raketa, temen ten kože, vesolje, ženska
👨‍🚒	fant, gasilec, gasilni avto, moški, ogenj
👨🏻‍🚒	fant, gasilec, gasilec: svetel ten kože, gasilni avto, moški, ogenj, svetel ten kože
👨🏼‍🚒	fant, gasilec, gasilec: srednje svetel ten kože, gasilni avto, moški, ogenj, srednje svetel ten kože
👨🏽‍🚒	fant, gasilec, gasilec: srednji ten kože, gasilni avto, moški, ogenj, srednji ten kože
👨🏾‍🚒	fant, gasilec, gasilec: srednje temen ten kože, gasilni avto, moški, ogenj, srednje temen ten kože
👨🏿‍🚒	fant, gasilec, gasilec: temen ten kože, gasilni avto, moški, ogenj, temen ten kože
👩‍🚒	dekle, gasilka, gasilni avto, ogenj, ženska
👩🏻‍🚒	dekle, gasilka, gasilka: svetel ten kože, gasilni avto, ogenj, svetel ten kože, ženska
👩🏼‍🚒	dekle, gasilka, gasilka: srednje svetel ten kože, gasilni avto, ogenj, srednje svetel ten kože, ženska
👩🏽‍🚒	dekle, gasilka, gasilka: srednji ten kože, gasilni avto, ogenj, srednji ten kože, ženska
👩🏾‍🚒	dekle, gasilka, gasilka: srednje temen ten kože, gasilni avto, ogenj, srednje temen ten kože, ženska
👩🏿‍🚒	dekle, gasilka, gasilka: temen ten kože, gasilni avto, ogenj, temen ten kože, ženska
👮	policaj, policija
👮🏻	policaj, policaj: svetel ten kože, policija, svetel ten kože
👮🏼	policaj, policaj: srednje svetel ten kože, policija, srednje svetel ten kože
👮🏽	policaj, policaj: srednji ten kože, policija, srednji ten kože
👮🏾	policaj, policaj: srednje temen ten kože, policija, srednje temen ten kože
👮🏿	policaj, policaj: temen ten kože, policija, temen ten kože
👮‍♂	fant, moški, policaj, policija, policist
👮🏻‍♂	fant, moški, policaj, policija, policist, policist: svetel ten kože, svetel ten kože
👮🏼‍♂	fant, moški, policaj, policija, policist, policist: srednje svetel ten kože, srednje svetel ten kože
👮🏽‍♂	fant, moški, policaj, policija, policist, policist: srednji ten kože, srednji ten kože
👮🏾‍♂	fant, moški, policaj, policija, policist, policist: srednje temen ten kože, srednje temen ten kože
👮🏿‍♂	fant, moški, policaj, policija, policist, policist: temen ten kože, temen ten kože
👮‍♀	dekle, policajka, policija, policistka, ženska
👮🏻‍♀	dekle, policajka, policija, policistka, policistka: svetel ten kože, svetel ten kože, ženska
👮🏼‍♀	dekle, policajka, policija, policistka, policistka: srednje svetel ten kože, srednje svetel ten kože, ženska
👮🏽‍♀	dekle, policajka, policija, policistka, policistka: srednji ten kože, srednji ten kože, ženska
👮🏾‍♀	dekle, policajka, policija, policistka, policistka: srednje temen ten kože, srednje temen ten kože, ženska
👮🏿‍♀	dekle, policajka, policija, policistka, policistka: temen ten kože, temen ten kože, ženska
🕵️	detektiv, preiskovalec, vohljač, vohun
🕵🏻	detektiv, preiskovalec, preiskovalec: svetel ten kože, svetel ten kože, vohljač, vohun
🕵🏼	detektiv, preiskovalec, preiskovalec: srednje svetel ten kože, srednje svetel ten kože, vohljač, vohun
🕵🏽	detektiv, preiskovalec, preiskovalec: srednji ten kože, srednji ten kože, vohljač, vohun
🕵🏾	detektiv, preiskovalec, preiskovalec: srednje temen ten kože, srednje temen ten kože, vohljač, vohun
🕵🏿	detektiv, preiskovalec, preiskovalec: temen ten kože, temen ten kože, vohljač, vohun
🕵‍♂	detektiv, dokaz, fant, moški, vohun
🕵🏻‍♂	detektiv, detektiv: svetel ten kože, dokaz, fant, moški, svetel ten kože, vohun
🕵🏼‍♂	detektiv, detektiv: srednje svetel ten kože, dokaz, fant, moški, srednje svetel ten kože, vohun
🕵🏽‍♂	detektiv, detektiv: srednji ten kože, dokaz, fant, moški, srednji ten kože, vohun
🕵🏾‍♂	detektiv, detektiv: srednje temen ten kože, dokaz, fant, moški, srednje temen ten kože, vohun
🕵🏿‍♂	detektiv, detektiv: temen ten kože, dokaz, fant, moški, temen ten kože, vohun
🕵‍♀	detektivka, dokaz, vohunka, ženska
🕵🏻‍♀	detektivka, detektivka: svetel ten kože, dokaz, svetel ten kože, vohunka, ženska
🕵🏼‍♀	detektivka, detektivka: srednje svetel ten kože, dokaz, srednje svetel ten kože, vohunka, ženska
🕵🏽‍♀	detektivka, detektivka: srednji ten kože, dokaz, srednji ten kože, vohunka, ženska
🕵🏾‍♀	detektivka, detektivka: srednje temen ten kože, dokaz, srednje temen ten kože, vohunka, ženska
🕵🏿‍♀	detektivka, detektivka: temen ten kože, dokaz, temen ten kože, vohunka, ženska
💂	stražar, stražar, čuvaj
💂🏻	stražar, stražar, čuvaj, stražar: svetel ten kože, svetel ten kože
💂🏼	srednje svetel ten kože, stražar, stražar, čuvaj, stražar: srednje svetel ten kože
💂🏽	srednji ten kože, stražar, stražar, čuvaj, stražar: srednji ten kože
💂🏾	srednje temen ten kože, stražar, stražar, čuvaj, stražar: srednje temen ten kože
💂🏿	stražar, stražar, čuvaj, stražar: temen ten kože, temen ten kože
💂‍♂	fant, moški, paznik, varnostnik
💂🏻‍♂	fant, moški, paznik, svetel ten kože, varnostnik, varnostnik: svetel ten kože
💂🏼‍♂	fant, moški, paznik, srednje svetel ten kože, varnostnik, varnostnik: srednje svetel ten kože
💂🏽‍♂	fant, moški, paznik, srednji ten kože, varnostnik, varnostnik: srednji ten kože
💂🏾‍♂	fant, moški, paznik, srednje temen ten kože, varnostnik, varnostnik: srednje temen ten kože
💂🏿‍♂	fant, moški, paznik, temen ten kože, varnostnik, varnostnik: temen ten kože
💂‍♀	dekle, paznica, varnostnica, ženska
💂🏻‍♀	dekle, paznica, svetel ten kože, varnostnica, varnostnica: svetel ten kože, ženska
💂🏼‍♀	dekle, paznica, srednje svetel ten kože, varnostnica, varnostnica: srednje svetel ten kože, ženska
💂🏽‍♀	dekle, paznica, srednji ten kože, varnostnica, varnostnica: srednji ten kože, ženska
💂🏾‍♀	dekle, paznica, srednje temen ten kože, varnostnica, varnostnica: srednje temen ten kože, ženska
💂🏿‍♀	dekle, paznica, temen ten kože, varnostnica, varnostnica: temen ten kože, ženska
👷	delavec, gradbenik, gradnja, čepica
👷🏻	delavec, gradbenik, gradbenik: svetel ten kože, gradnja, svetel ten kože, čepica
👷🏼	delavec, gradbenik, gradbenik: srednje svetel ten kože, gradnja, srednje svetel ten kože, čepica
👷🏽	delavec, gradbenik, gradbenik: srednji ten kože, gradnja, srednji ten kože, čepica
👷🏾	delavec, gradbenik, gradbenik: srednje temen ten kože, gradnja, srednje temen ten kože, čepica
👷🏿	delavec, gradbenik, gradbenik: temen ten kože, gradnja, temen ten kože, čepica
👷‍♂	delavec, fant, gradbeni delavec, gradbinec, gradbišče, moški
👷🏻‍♂	delavec, fant, gradbeni delavec, gradbeni delavec: svetel ten kože, gradbinec, gradbišče, moški, svetel ten kože
👷🏼‍♂	delavec, fant, gradbeni delavec, gradbeni delavec: srednje svetel ten kože, gradbinec, gradbišče, moški, srednje svetel ten kože
👷🏽‍♂	delavec, fant, gradbeni delavec, gradbeni delavec: srednji ten kože, gradbinec, gradbišče, moški, srednji ten kože
👷🏾‍♂	delavec, fant, gradbeni delavec, gradbeni delavec: srednje temen ten kože, gradbinec, gradbišče, moški, srednje temen ten kože
👷🏿‍♂	delavec, fant, gradbeni delavec, gradbeni delavec: temen ten kože, gradbinec, gradbišče, moški, temen ten kože
👷‍♀	dekle, delavka, gradbena delavka, gradbinka, gradbišče, ženska
👷🏻‍♀	dekle, delavka, gradbena delavka, gradbena delavka: svetel ten kože, gradbinka, gradbišče, svetel ten kože, ženska
👷🏼‍♀	dekle, delavka, gradbena delavka, gradbena delavka: srednje svetel ten kože, gradbinka, gradbišče, srednje svetel ten kože, ženska
👷🏽‍♀	dekle, delavka, gradbena delavka, gradbena delavka: srednji ten kože, gradbinka, gradbišče, srednji ten kože, ženska
👷🏾‍♀	dekle, delavka, gradbena delavka, gradbena delavka: srednje temen ten kože, gradbinka, gradbišče, srednje temen ten kože, ženska
👷🏿‍♀	dekle, delavka, gradbena delavka, gradbena delavka: temen ten kože, gradbinka, gradbišče, temen ten kože, ženska
🤴	princ
🤴🏻	princ, princ: svetel ten kože, svetel ten kože
🤴🏼	princ, princ: srednje svetel ten kože, srednje svetel ten kože
🤴🏽	princ, princ: srednji ten kože, srednji ten kože
🤴🏾	princ, princ: srednje temen ten kože, srednje temen ten kože
🤴🏿	princ, princ: temen ten kože, temen ten kože
👸	fantazija, pravljica, princesa
👸🏻	fantazija, pravljica, princesa, princesa: svetel ten kože, svetel ten kože
👸🏼	fantazija, pravljica, princesa, princesa: srednje svetel ten kože, srednje svetel ten kože
👸🏽	fantazija, pravljica, princesa, princesa: srednji ten kože, srednji ten kože
👸🏾	fantazija, pravljica, princesa, princesa: srednje temen ten kože, srednje temen ten kože
👸🏿	fantazija, pravljica, princesa, princesa: temen ten kože, temen ten kože
👳	moški, oseba s turbanom, turban
👳🏻	moški, oseba s turbanom, oseba s turbanom: svetel ten kože, svetel ten kože, turban
👳🏼	moški, oseba s turbanom, oseba s turbanom: srednje svetel ten kože, srednje svetel ten kože, turban
👳🏽	moški, oseba s turbanom, oseba s turbanom: srednji ten kože, srednji ten kože, turban
👳🏾	moški, oseba s turbanom, oseba s turbanom: srednje temen ten kože, srednje temen ten kože, turban
👳🏿	moški, oseba s turbanom, oseba s turbanom: temen ten kože, temen ten kože, turban
👳‍♂	fant, moški, moški s turbanom, turban
👳🏻‍♂	fant, moški, moški s turbanom, moški s turbanom: svetel ten kože, svetel ten kože, turban
👳🏼‍♂	fant, moški, moški s turbanom, moški s turbanom: srednje svetel ten kože, srednje svetel ten kože, turban
👳🏽‍♂	fant, moški, moški s turbanom, moški s turbanom: srednji ten kože, srednji ten kože, turban
👳🏾‍♂	fant, moški, moški s turbanom, moški s turbanom: srednje temen ten kože, srednje temen ten kože, turban
👳🏿‍♂	fant, moški, moški s turbanom, moški s turbanom: temen ten kože, temen ten kože, turban
👳‍♀	dekle, turban, ženska, ženska s turbanom
👳🏻‍♀	dekle, svetel ten kože, turban, ženska, ženska s turbanom, ženska s turbanom: svetel ten kože
👳🏼‍♀	dekle, srednje svetel ten kože, turban, ženska, ženska s turbanom, ženska s turbanom: srednje svetel ten kože
👳🏽‍♀	dekle, srednji ten kože, turban, ženska, ženska s turbanom, ženska s turbanom: srednji ten kože
👳🏾‍♀	dekle, srednje temen ten kože, turban, ženska, ženska s turbanom, ženska s turbanom: srednje temen ten kože
👳🏿‍♀	dekle, temen ten kože, turban, ženska, ženska s turbanom, ženska s turbanom: temen ten kože
👲	kitajska čepica, moški, moški s kitajsko čepico, čepica
👲🏻	kitajska čepica, moški, moški s kitajsko čepico, moški s kitajsko čepico: svetel ten kože, svetel ten kože, čepica
👲🏼	kitajska čepica, moški, moški s kitajsko čepico, moški s kitajsko čepico: srednje svetel ten kože, srednje svetel ten kože, čepica
👲🏽	kitajska čepica, moški, moški s kitajsko čepico, moški s kitajsko čepico: srednji ten kože, srednji ten kože, čepica
👲🏾	kitajska čepica, moški, moški s kitajsko čepico, moški s kitajsko čepico: srednje temen ten kože, srednje temen ten kože, čepica
👲🏿	kitajska čepica, moški, moški s kitajsko čepico, moški s kitajsko čepico: temen ten kože, temen ten kože, čepica
🧕	ženska z naglavno ruto
🧕🏻	svetel ten kože, ženska z naglavno ruto, ženska z naglavno ruto: svetel ten kože
