😀	зубы, усмешка, шырока ўсміхаецца
🙇🏽	выбачэнне, кланяцца, прабач, сярэдні тон скуры, чалавек кланяецца, чалавек кланяецца: сярэдні тон скуры
🙇🏾	выбачэнне, кланяцца, прабач, сярэдне-цёмны тон скуры, чалавек кланяецца, чалавек кланяецца: сярэдне-цёмны тон скуры
🙇🏿	выбачэнне, кланяцца, прабач, цёмны тон скуры, чалавек кланяецца, чалавек кланяецца: цёмны тон скуры
🙇‍♂	жэст, мужчына, мужчына нізка кланяецца, павага, прабач
🙇🏻‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: светлы тон скуры, павага, прабач, светлы тон скуры
🙇🏼‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: сярэдне-светлы тон скуры, павага, прабач, сярэдне-светлы тон скуры
🙇🏽‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: сярэдні тон скуры, павага, прабач, сярэдні тон скуры
🙇🏾‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: сярэдне-цёмны тон скуры, павага, прабач, сярэдне-цёмны тон скуры
🙇🏿‍♂	жэст, мужчына, мужчына нізка кланяецца, мужчына нізка кланяецца: цёмны тон скуры, павага, прабач, цёмны тон скуры
🙇‍♀	жанчына, жанчына нізка кланяецца, жэст, павага, прабач
🙇🏻‍♀	жанчына, жанчына нізка кланяецца, жанчына нізка кланяецца: светлы тон скуры, жэст, павага, прабач, светлы тон скуры
🙇🏼‍♀	жанчына, жанчына нізка кланяецца, жанчына нізка кланяецца: сярэдне-светлы тон скуры, жэст, павага, прабач, сярэдне-светлы тон скуры
🙇🏽‍♀	жанчына, жанчына нізка кланяецца, жанчына нізка кланяецца: сярэдні тон скуры, жэст, павага, прабач, сярэдні тон скуры
🙇🏾‍♀	жанчына, жанчына нізка кланяецца, жанчына нізка кланяецца: сярэдне-цёмны тон скуры, жэст, павага, прабач, сярэдне-цёмны тон скуры
🙇🏿‍♀	жанчына, жанчына нізка кланяецца, жанчына нізка кланяецца: цёмны тон скуры, жэст, павага, прабач, цёмны тон скуры
🤦	далонь, далонь на твары, не магу паверыць, няма слоў, рука, твар, фэйспалм
🤦🏻	далонь, далонь на твары, далонь на твары: светлы тон скуры, не магу паверыць, няма слоў, рука, светлы тон скуры, твар, фэйспалм
🤦🏼	далонь, далонь на твары, далонь на твары: сярэдне-светлы тон скуры, не магу паверыць, няма слоў, рука, сярэдне-светлы тон скуры, твар, фэйспалм
🤦🏽	далонь, далонь на твары, далонь на твары: сярэдні тон скуры, не магу паверыць, няма слоў, рука, сярэдні тон скуры, твар, фэйспалм
🤦🏾	далонь, далонь на твары, далонь на твары: сярэдне-цёмны тон скуры, не магу паверыць, няма слоў, рука, сярэдне-цёмны тон скуры, твар, фэйспалм
🤦🏿	далонь, далонь на твары, далонь на твары: цёмны тон скуры, не магу паверыць, няма слоў, рука, твар, фэйспалм, цёмны тон скуры
