😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🧏🏼‍♂	ಕಿವುಡ, ಕಿವುಡ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🧏🏽‍♂	ಕಿವುಡ, ಕಿವುಡ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🧏🏾‍♂	ಕಿವುಡ, ಕಿವುಡ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🧏🏿‍♂	ಕಿವುಡ, ಕಿವುಡ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🧏‍♀	ಕಿವುಡ ಮಹಿಳೆ, ಕಿವುಡಿ, ಮಹಿಳೆ
🧏🏻‍♀	ಕಿವುಡ ಮಹಿಳೆ, ಕಿವುಡ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
🧏🏼‍♀	ಕಿವುಡ ಮಹಿಳೆ, ಕಿವುಡ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
🧏🏽‍♀	ಕಿವುಡ ಮಹಿಳೆ, ಕಿವುಡ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡಿ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
🧏🏾‍♀	ಕಿವುಡ ಮಹಿಳೆ, ಕಿವುಡ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡಿ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
🧏🏿‍♀	ಕಿವುಡ ಮಹಿಳೆ, ಕಿವುಡ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡಿ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
🙇	ಕ್ಷಮೆಯಾಚನೆ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ
🙇🏻	ಕ್ಷಮೆಯಾಚನೆ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙇🏼	ಕ್ಷಮೆಯಾಚನೆ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙇🏽	ಕ್ಷಮೆಯಾಚನೆ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙇🏾	ಕ್ಷಮೆಯಾಚನೆ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙇🏿	ಕ್ಷಮೆಯಾಚನೆ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙇‍♂	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ, ತಲೆ ಬಾಗು, ಪುರುಷ, ಸಹಾಯ
🙇🏻‍♂	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಸಹಾಯ
🙇🏼‍♂	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
🙇🏽‍♂	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
🙇🏾‍♂	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
🙇🏿‍♂	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಪುರುಷ, ಸಹಾಯ
🙇‍♀	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ತಲೆ ಬಾಗು, ಸಹಾಯ, ಸ್ತ್ರೀ
🙇🏻‍♀	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ, ಸ್ತ್ರೀ
🙇🏼‍♀	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ, ಸ್ತ್ರೀ
🙇🏽‍♀	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ, ಸ್ತ್ರೀ
🙇🏾‍♀	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ, ಸ್ತ್ರೀ
🙇🏿‍♀	ಕ್ಷಮೆ ಕೇಳು, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕ್ಷಮೆಯಾಚಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಲೆ ಬಾಗು, ಸಹಾಯ, ಸ್ತ್ರೀ
🤦	ಅಂಗೈ, ಅಪನಂಬಿಕೆ, ಕೆರಳಿಸುವುದು, ಮುಖ, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು
🤦🏻	ಅಂಗೈ, ಅಪನಂಬಿಕೆ, ಕೆರಳಿಸುವುದು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤦🏼	ಅಂಗೈ, ಅಪನಂಬಿಕೆ, ಕೆರಳಿಸುವುದು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤦🏽	ಅಂಗೈ, ಅಪನಂಬಿಕೆ, ಕೆರಳಿಸುವುದು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤦🏾	ಅಂಗೈ, ಅಪನಂಬಿಕೆ, ಕೆರಳಿಸುವುದು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤦🏿	ಅಂಗೈ, ಅಪನಂಬಿಕೆ, ಕೆರಳಿಸುವುದು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು, ಮುಖಮಚ್ಚಿಕೊಳ್ಳುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤦‍♂	ನಂಬಲಸಾಧ್ಯ, ಪುರುಷ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ, ಹತಾಶೆ
🤦🏻‍♂	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನಂಬಲಸಾಧ್ಯ, ಪುರುಷ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತಾಶೆ
🤦🏼‍♂	ನಂಬಲಸಾಧ್ಯ, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತಾಶೆ
🤦🏽‍♂	ನಂಬಲಸಾಧ್ಯ, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹತಾಶೆ
🤦🏾‍♂	ನಂಬಲಸಾಧ್ಯ, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತಾಶೆ
🤦🏿‍♂	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನಂಬಲಸಾಧ್ಯ, ಪುರುಷ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತಾಶೆ
🤦‍♀	ನಂಬಲಸಾಧ್ಯ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸ್ತ್ರೀ, ಹತಾಶೆ
🤦🏻‍♀	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನಂಬಲಸಾಧ್ಯ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹತಾಶೆ
🤦🏼‍♀	ನಂಬಲಸಾಧ್ಯ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹತಾಶೆ
🤦🏽‍♀	ನಂಬಲಸಾಧ್ಯ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹತಾಶೆ
🤦🏾‍♀	ನಂಬಲಸಾಧ್ಯ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹತಾಶೆ
🤦🏿‍♀	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನಂಬಲಸಾಧ್ಯ, ಮುಖ ಮುಚ್ಚು, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ, ಮುಖಮುಚ್ಚಿಕೊಳ್ಳುತ್ತಿರುವ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ, ಹತಾಶೆ
🤷	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುವುದು
🤷🏻	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಭುಜ ಹಾರಿಸುವುದು, ಭುಜ ಹಾರಿಸುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤷🏼	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುವುದು, ಭುಜ ಹಾರಿಸುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤷🏽	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುವುದು, ಭುಜ ಹಾರಿಸುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤷🏾	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುವುದು, ಭುಜ ಹಾರಿಸುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤷🏿	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಭುಜ ಹಾರಿಸುವುದು, ಭುಜ ಹಾರಿಸುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤷‍♂	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ
🤷🏻‍♂	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤷🏼‍♂	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🤷🏽‍♂	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🤷🏾‍♂	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤷🏿‍♂	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤷‍♀	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸ್ತ್ರೀ
🤷🏻‍♀	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🤷🏼‍♀	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🤷🏽‍♀	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🤷🏾‍♀	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
🤷🏿‍♀	ಅಜ್ಞಾನ, ಅನುಮಾನ, ಉದಾಸೀನ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಭುಜ ಹಾರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ತ್ರೀ
👨‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಚಿಕಿತ್ಸಕ, ಪುರುಷ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ವೈದ್ಯರು
👨🏻‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಚಿಕಿತ್ಸಕ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವೈದ್ಯರು
👨🏼‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಚಿಕಿತ್ಸಕ, ಪುರುಷ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವೈದ್ಯರು
👨🏽‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಚಿಕಿತ್ಸಕ, ಪುರುಷ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವೈದ್ಯರು
👨🏾‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಚಿಕಿತ್ಸಕ, ಪುರುಷ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವೈದ್ಯರು
👨🏿‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಚಿಕಿತ್ಸಕ, ಪುರುಷ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ಪುರುಷ ಆರೋಗ್ಯಾಧಿಕಾರಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವೈದ್ಯರು
👩‍⚕	ಆರೋಗ್ಯ ರಕ್ಷಣೆ, ಚಿಕಿತ್ಸಕಿ, ದಾದಿ, ಮಹಿಳಾ ಆರೋಗ್ಯಾಧಿಕಾರಿ, ವೈದ್ಯರು
