😀	față, față încântată, încântare
👨🏽‍🎓	absolvent, student, student: ton mediu al pielii, ton mediu al pielii
👨🏾‍🎓	absolvent, student, student: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿‍🎓	absolvent, student, student: ton închis al pielii, ton închis al pielii
👩‍🎓	absolventă, studentă
👩🏻‍🎓	absolventă, studentă, studentă: ton deschis al pielii, ton deschis al pielii
👩🏼‍🎓	absolventă, studentă, studentă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👩🏽‍🎓	absolventă, studentă, studentă: ton mediu al pielii, ton mediu al pielii
👩🏾‍🎓	absolventă, studentă, studentă: ton semi‑închis al pielii, ton semi‑închis al pielii
👩🏿‍🎓	absolventă, studentă, studentă: ton închis al pielii, ton închis al pielii
👨‍🏫	instructor, profesor, învățător
👨🏻‍🏫	instructor, profesor, profesor: ton deschis al pielii, ton deschis al pielii, învățător
👨🏼‍🏫	instructor, profesor, profesor: ton semi‑deschis al pielii, ton semi‑deschis al pielii, învățător
👨🏽‍🏫	instructor, profesor, profesor: ton mediu al pielii, ton mediu al pielii, învățător
👨🏾‍🏫	instructor, profesor, profesor: ton semi‑închis al pielii, ton semi‑închis al pielii, învățător
👨🏿‍🏫	instructor, profesor, profesor: ton închis al pielii, ton închis al pielii, învățător
👩‍🏫	instructoare, profesoară, învățătoare
👩🏻‍🏫	instructoare, profesoară, profesoară: ton deschis al pielii, ton deschis al pielii, învățătoare
👩🏼‍🏫	instructoare, profesoară, profesoară: ton semi‑deschis al pielii, ton semi‑deschis al pielii, învățătoare
👩🏽‍🏫	instructoare, profesoară, profesoară: ton mediu al pielii, ton mediu al pielii, învățătoare
👩🏾‍🏫	instructoare, profesoară, profesoară: ton semi‑închis al pielii, ton semi‑închis al pielii, învățătoare
👩🏿‍🏫	instructoare, profesoară, profesoară: ton închis al pielii, ton închis al pielii, învățătoare
👨‍⚖	balanță, judecător, justiție
👨🏻‍⚖	balanță, judecător, judecător: ton deschis al pielii, justiție, ton deschis al pielii
👨🏼‍⚖	balanță, judecător, judecător: ton semi‑deschis al pielii, justiție, ton semi‑deschis al pielii
👨🏽‍⚖	balanță, judecător, judecător: ton mediu al pielii, justiție, ton mediu al pielii
👨🏾‍⚖	balanță, judecător, judecător: ton semi‑închis al pielii, justiție, ton semi‑închis al pielii
👨🏿‍⚖	balanță, judecător, judecător: ton închis al pielii, justiție, ton închis al pielii
👩‍⚖	balanță, judecătoare, justiție
👩🏻‍⚖	balanță, judecătoare, judecătoare: ton deschis al pielii, justiție, ton deschis al pielii
👩🏼‍⚖	balanță, judecătoare, judecătoare: ton semi‑deschis al pielii, justiție, ton semi‑deschis al pielii
👩🏽‍⚖	balanță, judecătoare, judecătoare: ton mediu al pielii, justiție, ton mediu al pielii
👩🏾‍⚖	balanță, judecătoare, judecătoare: ton semi‑închis al pielii, justiție, ton semi‑închis al pielii
👩🏿‍⚖	balanță, judecătoare, judecătoare: ton închis al pielii, justiție, ton închis al pielii
👨‍🌾	agricultor, fermier, grădinar, țăran
👨🏻‍🌾	agricultor, fermier, fermier: ton deschis al pielii, grădinar, ton deschis al pielii, țăran
👨🏼‍🌾	agricultor, fermier, fermier: ton semi‑deschis al pielii, grădinar, ton semi‑deschis al pielii, țăran
👨🏽‍🌾	agricultor, fermier, fermier: ton mediu al pielii, grădinar, ton mediu al pielii, țăran
👨🏾‍🌾	agricultor, fermier, fermier: ton semi‑închis al pielii, grădinar, ton semi‑închis al pielii, țăran
👨🏿‍🌾	agricultor, fermier, fermier: ton închis al pielii, grădinar, ton închis al pielii, țăran
👩‍🌾	agricultoare, femeie grădinar, fermieră, țărancă
👩🏻‍🌾	agricultoare, femeie grădinar, fermieră, fermieră: ton deschis al pielii, ton deschis al pielii, țărancă
👩🏼‍🌾	agricultoare, femeie grădinar, fermieră, fermieră: ton semi‑deschis al pielii, ton semi‑deschis al pielii, țărancă
👩🏽‍🌾	agricultoare, femeie grădinar, fermieră, fermieră: ton mediu al pielii, ton mediu al pielii, țărancă
👩🏾‍🌾	agricultoare, femeie grădinar, fermieră, fermieră: ton semi‑închis al pielii, ton semi‑închis al pielii, țărancă
👩🏿‍🌾	agricultoare, femeie grădinar, fermieră, fermieră: ton închis al pielii, ton închis al pielii, țărancă
👨‍🍳	bucătar, bucătărie
👨🏻‍🍳	bucătar, bucătar: ton deschis al pielii, bucătărie, ton deschis al pielii
👨🏼‍🍳	bucătar, bucătar: ton semi‑deschis al pielii, bucătărie, ton semi‑deschis al pielii
👨🏽‍🍳	bucătar, bucătar: ton mediu al pielii, bucătărie, ton mediu al pielii
👨🏾‍🍳	bucătar, bucătar: ton semi‑închis al pielii, bucătărie, ton semi‑închis al pielii
👨🏿‍🍳	bucătar, bucătar: ton închis al pielii, bucătărie, ton închis al pielii
👩‍🍳	bucătăreasă, bucătărie
👩🏻‍🍳	bucătăreasă, bucătăreasă: ton deschis al pielii, bucătărie, ton deschis al pielii
👩🏼‍🍳	bucătăreasă, bucătăreasă: ton semi‑deschis al pielii, bucătărie, ton semi‑deschis al pielii
👩🏽‍🍳	bucătăreasă, bucătăreasă: ton mediu al pielii, bucătărie, ton mediu al pielii
👩🏾‍🍳	bucătăreasă, bucătăreasă: ton semi‑închis al pielii, bucătărie, ton semi‑închis al pielii
👩🏿‍🍳	bucătăreasă, bucătăreasă: ton închis al pielii, bucătărie, ton închis al pielii
👨‍🔧	electrician, instalator, mecanic, meșter
👨🏻‍🔧	electrician, instalator, mecanic, mecanic: ton deschis al pielii, meșter, ton deschis al pielii
👨🏼‍🔧	electrician, instalator, mecanic, mecanic: ton semi‑deschis al pielii, meșter, ton semi‑deschis al pielii
👨🏽‍🔧	electrician, instalator, mecanic, mecanic: ton mediu al pielii, meșter, ton mediu al pielii
👨🏾‍🔧	electrician, instalator, mecanic, mecanic: ton semi‑închis al pielii, meșter, ton semi‑închis al pielii
👨🏿‍🔧	electrician, instalator, mecanic, mecanic: ton închis al pielii, meșter, ton închis al pielii
👩‍🔧	electriciană, femeie mecanic, instalatoare
👩🏻‍🔧	electriciană, femeie mecanic, femeie mecanic: ton deschis al pielii, instalatoare, ton deschis al pielii
👩🏼‍🔧	electriciană, femeie mecanic, femeie mecanic: ton semi‑deschis al pielii, instalatoare, ton semi‑deschis al pielii
👩🏽‍🔧	electriciană, femeie mecanic, femeie mecanic: ton mediu al pielii, instalatoare, ton mediu al pielii
👩🏾‍🔧	electriciană, femeie mecanic, femeie mecanic: ton semi‑închis al pielii, instalatoare, ton semi‑închis al pielii
👩🏿‍🔧	electriciană, femeie mecanic, femeie mecanic: ton închis al pielii, instalatoare, ton închis al pielii
👨‍🏭	asamblare, fabrică, industrial, muncitor, muncitor în fabrică, uzină
👨🏻‍🏭	asamblare, fabrică, industrial, muncitor, muncitor în fabrică, muncitor în fabrică: ton deschis al pielii, ton deschis al pielii, uzină
👨🏼‍🏭	asamblare, fabrică, industrial, muncitor, muncitor în fabrică, muncitor în fabrică: ton semi‑deschis al pielii, ton semi‑deschis al pielii, uzină
👨🏽‍🏭	asamblare, fabrică, industrial, muncitor, muncitor în fabrică, muncitor în fabrică: ton mediu al pielii, ton mediu al pielii, uzină
👨🏾‍🏭	asamblare, fabrică, industrial, muncitor, muncitor în fabrică, muncitor în fabrică: ton semi‑închis al pielii, ton semi‑închis al pielii, uzină
👨🏿‍🏭	asamblare, fabrică, industrial, muncitor, muncitor în fabrică, muncitor în fabrică: ton închis al pielii, ton închis al pielii, uzină
👩‍🏭	asamblare, fabrică, industrial, muncitoare, muncitoare în fabrică, uzină
👩🏻‍🏭	asamblare, fabrică, industrial, muncitoare, muncitoare în fabrică, muncitoare în fabrică: ton deschis al pielii, ton deschis al pielii, uzină
👩🏼‍🏭	asamblare, fabrică, industrial, muncitoare, muncitoare în fabrică, muncitoare în fabrică: ton semi‑deschis al pielii, ton semi‑deschis al pielii, uzină
👩🏽‍🏭	asamblare, fabrică, industrial, muncitoare, muncitoare în fabrică, muncitoare în fabrică: ton mediu al pielii, ton mediu al pielii, uzină
👩🏾‍🏭	asamblare, fabrică, industrial, muncitoare, muncitoare în fabrică, muncitoare în fabrică: ton semi‑închis al pielii, ton semi‑închis al pielii, uzină
👩🏿‍🏭	asamblare, fabrică, industrial, muncitoare, muncitoare în fabrică, muncitoare în fabrică: ton închis al pielii, ton închis al pielii, uzină
👨‍💼	administrație, arhitect, birou, business, funcționar, manager
👨🏻‍💼	administrație, arhitect, birou, business, funcționar, funcționar: ton deschis al pielii, manager, ton deschis al pielii
👨🏼‍💼	administrație, arhitect, birou, business, funcționar, funcționar: ton semi‑deschis al pielii, manager, ton semi‑deschis al pielii
👨🏽‍💼	administrație, arhitect, birou, business, funcționar, funcționar: ton mediu al pielii, manager, ton mediu al pielii
👨🏾‍💼	administrație, arhitect, birou, business, funcționar, funcționar: ton semi‑închis al pielii, manager, ton semi‑închis al pielii
👨🏿‍💼	administrație, arhitect, birou, business, funcționar, funcționar: ton închis al pielii, manager, ton închis al pielii
👩‍💼	administrație, arhitectă, birou, business, femeie manager, funcționară
👩🏻‍💼	administrație, arhitectă, birou, business, femeie manager, funcționară, funcționară: ton deschis al pielii, ton deschis al pielii
👩🏼‍💼	administrație, arhitectă, birou, business, femeie manager, funcționară, funcționară: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👩🏽‍💼	administrație, arhitectă, birou, business, femeie manager, funcționară, funcționară: ton mediu al pielii, ton mediu al pielii
👩🏾‍💼	administrație, arhitectă, birou, business, femeie manager, funcționară, funcționară: ton semi‑închis al pielii, ton semi‑închis al pielii
👩🏿‍💼	administrație, arhitectă, birou, business, femeie manager, funcționară, funcționară: ton închis al pielii, ton închis al pielii
👨‍🔬	biolog, chimist, fizician, matematician, om de știință
👨🏻‍🔬	biolog, chimist, fizician, matematician, om de știință, om de știință: ton deschis al pielii, ton deschis al pielii
👨🏼‍🔬	biolog, chimist, fizician, matematician, om de știință, om de știință: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👨🏽‍🔬	biolog, chimist, fizician, matematician, om de știință, om de știință: ton mediu al pielii, ton mediu al pielii
👨🏾‍🔬	biolog, chimist, fizician, matematician, om de știință, om de știință: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿‍🔬	biolog, chimist, fizician, matematician, om de știință, om de știință: ton închis al pielii, ton închis al pielii
👩‍🔬	biologă, chimistă, femeie om de știință, fiziciană, matematiciană
👩🏻‍🔬	biologă, chimistă, femeie om de știință, femeie om de știință: ton deschis al pielii, fiziciană, matematiciană, ton deschis al pielii
👩🏼‍🔬	biologă, chimistă, femeie om de știință, femeie om de știință: ton semi‑deschis al pielii, fiziciană, matematiciană, ton semi‑deschis al pielii
👩🏽‍🔬	biologă, chimistă, femeie om de știință, femeie om de știință: ton mediu al pielii, fiziciană, matematiciană, ton mediu al pielii
👩🏾‍🔬	biologă, chimistă, femeie om de știință, femeie om de știință: ton semi‑închis al pielii, fiziciană, matematiciană, ton semi‑închis al pielii
👩🏿‍🔬	biologă, chimistă, femeie om de știință, femeie om de știință: ton închis al pielii, fiziciană, matematiciană, ton închis al pielii
👨‍💻	dezvoltator, informatician, programator, software, specialist IT
👨🏻‍💻	dezvoltator, informatician, programator, software, specialist IT, specialist IT: ton deschis al pielii, ton deschis al pielii
👨🏼‍💻	dezvoltator, informatician, programator, software, specialist IT, specialist IT: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👨🏽‍💻	dezvoltator, informatician, programator, software, specialist IT, specialist IT: ton mediu al pielii, ton mediu al pielii
👨🏾‍💻	dezvoltator, informatician, programator, software, specialist IT, specialist IT: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿‍💻	dezvoltator, informatician, programator, software, specialist IT, specialist IT: ton închis al pielii, ton închis al pielii
👩‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT
👩🏻‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton deschis al pielii, ton deschis al pielii
👩🏼‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👩🏽‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton mediu al pielii, ton mediu al pielii
👩🏾‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton semi‑închis al pielii, ton semi‑închis al pielii
👩🏿‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton închis al pielii, ton închis al pielii
