😀	মুখ, হাঁহি, হাস্য মুখী
👩🏽	তিৰোতা, তিৰোতা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মহিলা
👩🏾	তিৰোতা, তিৰোতা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
👩🏿	ক’লা ছালৰ ৰং, তিৰোতা, তিৰোতা: ক’লা ছালৰ ৰং, মহিলা
👱‍♀	চুলি, মহিলা, মহিলা: সোণালী চুলি, সোণালী চুলিৰ মহিলা, স্বৰ্ণকেশী
👱🏻‍♀	চুলি, পাতল ছালৰ ৰং, মহিলা, মহিলা: পাতল ছালৰ ৰং, সোণালী চুলি, মহিলা: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ মহিলা, স্বৰ্ণকেশী
👱🏼‍♀	চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা, মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি, মহিলা: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ মহিলা, স্বৰ্ণকেশী
👱🏽‍♀	চুলি, মধ্যমীয়া ছালৰ ৰং, মহিলা, মহিলা: মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি, মহিলা: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ মহিলা, স্বৰ্ণকেশী
👱🏾‍♀	চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা, মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি, মহিলা: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ মহিলা, স্বৰ্ণকেশী
👱🏿‍♀	ক’লা ছালৰ ৰং, চুলি, মহিলা, মহিলা: ক’লা ছালৰ ৰং, সোণালী চুলি, মহিলা: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ মহিলা, স্বৰ্ণকেশী
👩‍🦰	তিৰোতা, তিৰোতা: ৰঙা চুলি, মহিলা, ৰঙা চুলি
👩🏻‍🦰	তিৰোতা, তিৰোতা: পাতল ছালৰ ৰং, ৰঙা চুলি, পাতল ছালৰ ৰং, মহিলা, ৰঙা চুলি
👩🏼‍🦰	তিৰোতা, তিৰোতা: মধ্যমীয়া-পাতল ছালৰ ৰং, ৰঙা চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা, ৰঙা চুলি
👩🏽‍🦰	তিৰোতা, তিৰোতা: মধ্যমীয়া ছালৰ ৰং, ৰঙা চুলি, মধ্যমীয়া ছালৰ ৰং, মহিলা, ৰঙা চুলি
👩🏾‍🦰	তিৰোতা, তিৰোতা: মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰঙা চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা, ৰঙা চুলি
👩🏿‍🦰	ক’লা ছালৰ ৰং, তিৰোতা, তিৰোতা: ক’লা ছালৰ ৰং, ৰঙা চুলি, মহিলা, ৰঙা চুলি
👩‍🦱	কেঁকোৰা চুলি, তিৰোতা, তিৰোতা: কেঁকোৰা চুলি, মহিলা
👩🏻‍🦱	কেঁকোৰা চুলি, তিৰোতা, তিৰোতা: পাতল ছালৰ ৰং, কেঁকোৰা চুলি, পাতল ছালৰ ৰং, মহিলা
👩🏼‍🦱	কেঁকোৰা চুলি, তিৰোতা, তিৰোতা: মধ্যমীয়া-পাতল ছালৰ ৰং, কেঁকোৰা চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
👩🏽‍🦱	কেঁকোৰা চুলি, তিৰোতা, তিৰোতা: মধ্যমীয়া ছালৰ ৰং, কেঁকোৰা চুলি, মধ্যমীয়া ছালৰ ৰং, মহিলা
👩🏾‍🦱	কেঁকোৰা চুলি, তিৰোতা, তিৰোতা: মধ্যমীয়া-ক’লা ছালৰ ৰং, কেঁকোৰা চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
👩🏿‍🦱	কেঁকোৰা চুলি, ক’লা ছালৰ ৰং, তিৰোতা, তিৰোতা: ক’লা ছালৰ ৰং, কেঁকোৰা চুলি, মহিলা
👩‍🦳	তিৰোতা, তিৰোতা: বগা চুলি, বগা চুলি, মহিলা
👩🏻‍🦳	তিৰোতা, তিৰোতা: পাতল ছালৰ ৰং, বগা চুলি, পাতল ছালৰ ৰং, বগা চুলি, মহিলা
👩🏼‍🦳	তিৰোতা, তিৰোতা: মধ্যমীয়া-পাতল ছালৰ ৰং, বগা চুলি, বগা চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
👩🏽‍🦳	তিৰোতা, তিৰোতা: মধ্যমীয়া ছালৰ ৰং, বগা চুলি, বগা চুলি, মধ্যমীয়া ছালৰ ৰং, মহিলা
👩🏾‍🦳	তিৰোতা, তিৰোতা: মধ্যমীয়া-ক’লা ছালৰ ৰং, বগা চুলি, বগা চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
👩🏿‍🦳	ক’লা ছালৰ ৰং, তিৰোতা, তিৰোতা: ক’লা ছালৰ ৰং, বগা চুলি, বগা চুলি, মহিলা
👩‍🦲	টপা মূৰীয়া, তিৰোতা, তিৰোতা: টপা মূৰীয়া, মহিলা
👩🏻‍🦲	টপা মূৰীয়া, তিৰোতা, তিৰোতা: পাতল ছালৰ ৰং, টপা মূৰীয়া, পাতল ছালৰ ৰং, মহিলা
👩🏼‍🦲	টপা মূৰীয়া, তিৰোতা, তিৰোতা: মধ্যমীয়া-পাতল ছালৰ ৰং, টপা মূৰীয়া, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
👩🏽‍🦲	টপা মূৰীয়া, তিৰোতা, তিৰোতা: মধ্যমীয়া ছালৰ ৰং, টপা মূৰীয়া, মধ্যমীয়া ছালৰ ৰং, মহিলা
👩🏾‍🦲	টপা মূৰীয়া, তিৰোতা, তিৰোতা: মধ্যমীয়া-ক’লা ছালৰ ৰং, টপা মূৰীয়া, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
👩🏿‍🦲	ক’লা ছালৰ ৰং, টপা মূৰীয়া, তিৰোতা, তিৰোতা: ক’লা ছালৰ ৰং, টপা মূৰীয়া, মহিলা
🧓	বয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক, লিংগ নিউট্ৰেল
🧓🏻	পাতল ছালৰ ৰং, বয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক: পাতল ছালৰ ৰং, লিংগ নিউট্ৰেল
🧓🏼	বয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, লিংগ নিউট্ৰেল
🧓🏽	বয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, লিংগ নিউট্ৰেল
🧓🏾	বয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, লিংগ নিউট্ৰেল
🧓🏿	ক’লা ছালৰ ৰং, বয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক, বয়স্ক প্ৰাপ্তবয়স্ক: ক’লা ছালৰ ৰং, লিংগ নিউট্ৰেল
👴	পুৰুষ, বয়ষষ্ঠ মানুহ, বয়স্ক, বৃদ্ধ মানুহ
👴🏻	পাতল ছালৰ ৰং, পুৰুষ, বয়ষষ্ঠ মানুহ, বয়ষষ্ঠ মানুহ: পাতল ছালৰ ৰং, বয়স্ক, বৃদ্ধ মানুহ
👴🏼	পুৰুষ, বয়ষষ্ঠ মানুহ, বয়ষষ্ঠ মানুহ: মধ্যমীয়া-পাতল ছালৰ ৰং, বয়স্ক, বৃদ্ধ মানুহ, মধ্যমীয়া-পাতল ছালৰ ৰং
👴🏽	পুৰুষ, বয়ষষ্ঠ মানুহ, বয়ষষ্ঠ মানুহ: মধ্যমীয়া ছালৰ ৰং, বয়স্ক, বৃদ্ধ মানুহ, মধ্যমীয়া ছালৰ ৰং
👴🏾	পুৰুষ, বয়ষষ্ঠ মানুহ, বয়ষষ্ঠ মানুহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, বয়স্ক, বৃদ্ধ মানুহ, মধ্যমীয়া-ক’লা ছালৰ ৰং
👴🏿	ক’লা ছালৰ ৰং, পুৰুষ, বয়ষষ্ঠ মানুহ, বয়ষষ্ঠ মানুহ: ক’লা ছালৰ ৰং, বয়স্ক, বৃদ্ধ মানুহ
👵	বয়ষষ্ঠ মহিলা, বয়স্ক, মহিলা
👵🏻	পাতল ছালৰ ৰং, বয়ষষ্ঠ মহিলা, বয়ষষ্ঠ মহিলা: পাতল ছালৰ ৰং, বয়স্ক, মহিলা
👵🏼	বয়ষষ্ঠ মহিলা, বয়ষষ্ঠ মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, বয়স্ক, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
👵🏽	বয়ষষ্ঠ মহিলা, বয়ষষ্ঠ মহিলা: মধ্যমীয়া ছালৰ ৰং, বয়স্ক, মধ্যমীয়া ছালৰ ৰং, মহিলা
👵🏾	বয়ষষ্ঠ মহিলা, বয়ষষ্ঠ মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, বয়স্ক, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
👵🏿	ক’লা ছালৰ ৰং, বয়ষষ্ঠ মহিলা, বয়ষষ্ঠ মহিলা: ক’লা ছালৰ ৰং, বয়স্ক, মহিলা
🙍	ভঙ্গী, ভ্ৰুকুটি, ভ্ৰূকুটি মৰা ব্যক্তি
🙍🏻	পাতল ছালৰ ৰং, ভঙ্গী, ভ্ৰুকুটি, ভ্ৰূকুটি মৰা ব্যক্তি, ভ্ৰূকুটি মৰা ব্যক্তি: পাতল ছালৰ ৰং
🙍🏼	ভঙ্গী, ভ্ৰুকুটি, ভ্ৰূকুটি মৰা ব্যক্তি, ভ্ৰূকুটি মৰা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🙍🏽	ভঙ্গী, ভ্ৰুকুটি, ভ্ৰূকুটি মৰা ব্যক্তি, ভ্ৰূকুটি মৰা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🙍🏾	ভঙ্গী, ভ্ৰুকুটি, ভ্ৰূকুটি মৰা ব্যক্তি, ভ্ৰূকুটি মৰা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🙍🏿	ক’লা ছালৰ ৰং, ভঙ্গী, ভ্ৰুকুটি, ভ্ৰূকুটি মৰা ব্যক্তি, ভ্ৰূকুটি মৰা ব্যক্তি: ক’লা ছালৰ ৰং
🙍‍♂	পুৰুষ, ভঙ্গিমা, ভ্ৰুকুটি মৰা, ভ্ৰুকুটি মৰা পুৰুষ
🙍🏻‍♂	পাতল ছালৰ ৰং, পুৰুষ, ভঙ্গিমা, ভ্ৰুকুটি মৰা, ভ্ৰুকুটি মৰা পুৰুষ, ভ্ৰুকুটি মৰা পুৰুষ: পাতল ছালৰ ৰং
