😀	cerenje, lice
👨🏾‍🎤	izvođač, pjevač, pjevač: umjereno tamna boja kože, roker, umjereno tamna boja kože, zabavljač, zvijezda
👨🏿‍🎤	izvođač, pjevač, pjevač: tamna boja kože, roker, tamna boja kože, zabavljač, zvijezda
👩‍🎤	izvođač, pjevačica, roker, zabavljač, zvijezda
👩🏻‍🎤	izvođač, pjevačica, pjevačica: svijetla boja kože, roker, svijetla boja kože, zabavljač, zvijezda
👩🏼‍🎤	izvođač, pjevačica, pjevačica: umjereno svijetla boja kože, roker, umjereno svijetla boja kože, zabavljač, zvijezda
👩🏽‍🎤	izvođač, pjevačica, pjevačica: umjerena boja kože, roker, umjerena boja kože, zabavljač, zvijezda
👩🏾‍🎤	izvođač, pjevačica, pjevačica: umjereno tamna boja kože, roker, umjereno tamna boja kože, zabavljač, zvijezda
👩🏿‍🎤	izvođač, pjevačica, pjevačica: tamna boja kože, roker, tamna boja kože, zabavljač, zvijezda
👨‍🎨	artist, muškarac, slikar, umjetnik
👨🏻‍🎨	artist, muškarac, slikar, svijetla boja kože, umjetnik, umjetnik: svijetla boja kože
👨🏼‍🎨	artist, muškarac, slikar, umjereno svijetla boja kože, umjetnik, umjetnik: umjereno svijetla boja kože
👨🏽‍🎨	artist, muškarac, slikar, umjerena boja kože, umjetnik, umjetnik: umjerena boja kože
👨🏾‍🎨	artist, muškarac, slikar, umjereno tamna boja kože, umjetnik, umjetnik: umjereno tamna boja kože
👨🏿‍🎨	artist, muškarac, slikar, tamna boja kože, umjetnik, umjetnik: tamna boja kože
👩‍🎨	artist, slikar, umjetnica, umjetnik, žena
👩🏻‍🎨	artist, slikar, svijetla boja kože, umjetnica, umjetnica: svijetla boja kože, umjetnik, žena
👩🏼‍🎨	artist, slikar, umjereno svijetla boja kože, umjetnica, umjetnica: umjereno svijetla boja kože, umjetnik, žena
👩🏽‍🎨	artist, slikar, umjerena boja kože, umjetnica, umjetnica: umjerena boja kože, umjetnik, žena
👩🏾‍🎨	artist, slikar, umjereno tamna boja kože, umjetnica, umjetnica: umjereno tamna boja kože, umjetnik, žena
👩🏿‍🎨	artist, slikar, tamna boja kože, umjetnica, umjetnica: tamna boja kože, umjetnik, žena
👨‍✈	avion, muškarac, pilot
👨🏻‍✈	avion, muškarac, pilot, pilot: svijetla boja kože, svijetla boja kože
👨🏼‍✈	avion, muškarac, pilot, pilot: umjereno svijetla boja kože, umjereno svijetla boja kože
👨🏽‍✈	avion, muškarac, pilot, pilot: umjerena boja kože, umjerena boja kože
👨🏾‍✈	avion, muškarac, pilot, pilot: umjereno tamna boja kože, umjereno tamna boja kože
👨🏿‍✈	avion, muškarac, pilot, pilot: tamna boja kože, tamna boja kože
👩‍✈	avion, pilot, žena, žena pilot
👩🏻‍✈	avion, pilot, svijetla boja kože, žena, žena pilot: svijetla boja kože
👩🏼‍✈	avion, pilot, umjereno svijetla boja kože, žena, žena pilot: umjereno svijetla boja kože
👩🏽‍✈	avion, pilot, umjerena boja kože, žena, žena pilot: umjerena boja kože
👩🏾‍✈	avion, pilot, umjereno tamna boja kože, žena, žena pilot: umjereno tamna boja kože
👩🏿‍✈	avion, pilot, tamna boja kože, žena, žena pilot: tamna boja kože
👨‍🚀	astronaut, mjesec, muškarac, raketa, svemir
👨🏻‍🚀	astronaut, astronaut: svijetla boja kože, mjesec, muškarac, raketa, svemir, svijetla boja kože
👨🏼‍🚀	astronaut, astronaut: umjereno svijetla boja kože, mjesec, muškarac, raketa, svemir, umjereno svijetla boja kože
👨🏽‍🚀	astronaut, astronaut: umjerena boja kože, mjesec, muškarac, raketa, svemir, umjerena boja kože
👨🏾‍🚀	astronaut, astronaut: umjereno tamna boja kože, mjesec, muškarac, raketa, svemir, umjereno tamna boja kože
👨🏿‍🚀	astronaut, astronaut: tamna boja kože, mjesec, muškarac, raketa, svemir, tamna boja kože
👩‍🚀	astronaut, astronautkinja, mjesec, raketa, svemir
👩🏻‍🚀	astronaut, astronautkinja, astronautkinja: svijetla boja kože, mjesec, raketa, svemir, svijetla boja kože
👩🏼‍🚀	astronaut, astronautkinja, astronautkinja: umjereno svijetla boja kože, mjesec, raketa, svemir, umjereno svijetla boja kože
👩🏽‍🚀	astronaut, astronautkinja, astronautkinja: umjerena boja kože, mjesec, raketa, svemir, umjerena boja kože
👩🏾‍🚀	astronaut, astronautkinja, astronautkinja: umjereno tamna boja kože, mjesec, raketa, svemir, umjereno tamna boja kože
👩🏿‍🚀	astronaut, astronautkinja, astronautkinja: tamna boja kože, mjesec, raketa, svemir, tamna boja kože
👨‍🚒	muškarac, vatrogasac, vatrogasna kola
👨🏻‍🚒	muškarac, svijetla boja kože, vatrogasac, vatrogasac: svijetla boja kože, vatrogasna kola
👨🏼‍🚒	muškarac, umjereno svijetla boja kože, vatrogasac, vatrogasac: umjereno svijetla boja kože, vatrogasna kola
👨🏽‍🚒	muškarac, umjerena boja kože, vatrogasac, vatrogasac: umjerena boja kože, vatrogasna kola
👨🏾‍🚒	muškarac, umjereno tamna boja kože, vatrogasac, vatrogasac: umjereno tamna boja kože, vatrogasna kola
👨🏿‍🚒	muškarac, tamna boja kože, vatrogasac, vatrogasac: tamna boja kože, vatrogasna kola
👩‍🚒	vatrogasac, vatrogasna kola, žena, žena vatrogasac
👩🏻‍🚒	svijetla boja kože, vatrogasac, vatrogasna kola, žena, žena vatrogasac: svijetla boja kože
👩🏼‍🚒	umjereno svijetla boja kože, vatrogasac, vatrogasna kola, žena, žena vatrogasac: umjereno svijetla boja kože
👩🏽‍🚒	umjerena boja kože, vatrogasac, vatrogasna kola, žena, žena vatrogasac: umjerena boja kože
👩🏾‍🚒	umjereno tamna boja kože, vatrogasac, vatrogasna kola, žena, žena vatrogasac: umjereno tamna boja kože
👩🏿‍🚒	tamna boja kože, vatrogasac, vatrogasna kola, žena, žena vatrogasac: tamna boja kože
👮	muškarac, policajac, policija, policijski službenik
👮🏻	muškarac, policajac, policija, policijski službenik, policijski službenik: svijetla boja kože, svijetla boja kože
👮🏼	muškarac, policajac, policija, policijski službenik, policijski službenik: umjereno svijetla boja kože, umjereno svijetla boja kože
👮🏽	muškarac, policajac, policija, policijski službenik, policijski službenik: umjerena boja kože, umjerena boja kože
👮🏾	muškarac, policajac, policija, policijski službenik, policijski službenik: umjereno tamna boja kože, umjereno tamna boja kože
👮🏿	muškarac, policajac, policija, policijski službenik, policijski službenik: tamna boja kože, tamna boja kože
👮‍♂	muškarac, policajac, policija
👮🏻‍♂	muškarac, policajac, policajac: svijetla boja kože, policija, svijetla boja kože
👮🏼‍♂	muškarac, policajac, policajac: umjereno svijetla boja kože, policija, umjereno svijetla boja kože
👮🏽‍♂	muškarac, policajac, policajac: umjerena boja kože, policija, umjerena boja kože
👮🏾‍♂	muškarac, policajac, policajac: umjereno tamna boja kože, policija, umjereno tamna boja kože
👮🏿‍♂	muškarac, policajac, policajac: tamna boja kože, policija, tamna boja kože
👮‍♀	policajac, policija, žena, žena policajac
👮🏻‍♀	policajac, policija, svijetla boja kože, žena, žena policajac: svijetla boja kože
👮🏼‍♀	policajac, policija, umjereno svijetla boja kože, žena, žena policajac: umjereno svijetla boja kože
👮🏽‍♀	policajac, policija, umjerena boja kože, žena, žena policajac: umjerena boja kože
👮🏾‍♀	policajac, policija, umjereno tamna boja kože, žena, žena policajac: umjereno tamna boja kože
👮🏿‍♀	policajac, policija, tamna boja kože, žena, žena policajac: tamna boja kože
🕵️	detektiv, muškarac, špijun
🕵🏻	detektiv, detektiv: svijetla boja kože, muškarac, svijetla boja kože, špijun
🕵🏼	detektiv, detektiv: umjereno svijetla boja kože, muškarac, umjereno svijetla boja kože, špijun
🕵🏽	detektiv, detektiv: umjerena boja kože, muškarac, umjerena boja kože, špijun
🕵🏾	detektiv, detektiv: umjereno tamna boja kože, muškarac, umjereno tamna boja kože, špijun
🕵🏿	detektiv, detektiv: tamna boja kože, muškarac, tamna boja kože, špijun
🕵‍♂	detektiv, detektiv muško, muškarac, špijun
🕵🏻‍♂	detektiv, detektiv muško, detektiv muško: svijetla boja kože, muškarac, svijetla boja kože, špijun
🕵🏼‍♂	detektiv, detektiv muško, detektiv muško: umjereno svijetla boja kože, muškarac, umjereno svijetla boja kože, špijun
🕵🏽‍♂	detektiv, detektiv muško, detektiv muško: umjerena boja kože, muškarac, umjerena boja kože, špijun
🕵🏾‍♂	detektiv, detektiv muško, detektiv muško: umjereno tamna boja kože, muškarac, umjereno tamna boja kože, špijun
🕵🏿‍♂	detektiv, detektiv muško, detektiv muško: tamna boja kože, muškarac, tamna boja kože, špijun
🕵‍♀	detektiv, detektivka, špijun, žena
🕵🏻‍♀	detektiv, detektivka, detektivka: svijetla boja kože, svijetla boja kože, špijun, žena
🕵🏼‍♀	detektiv, detektivka, detektivka: umjereno svijetla boja kože, umjereno svijetla boja kože, špijun, žena
🕵🏽‍♀	detektiv, detektivka, detektivka: umjerena boja kože, umjerena boja kože, špijun, žena
🕵🏾‍♀	detektiv, detektivka, detektivka: umjereno tamna boja kože, umjereno tamna boja kože, špijun, žena
🕵🏿‍♀	detektiv, detektivka, detektivka: tamna boja kože, tamna boja kože, špijun, žena
💂	straža, stražar
💂🏻	straža, stražar, stražar: svijetla boja kože, svijetla boja kože
💂🏼	straža, stražar, stražar: umjereno svijetla boja kože, umjereno svijetla boja kože
💂🏽	straža, stražar, stražar: umjerena boja kože, umjerena boja kože
💂🏾	straža, stražar, stražar: umjereno tamna boja kože, umjereno tamna boja kože
💂🏿	straža, stražar, stražar: tamna boja kože, tamna boja kože
💂‍♂	muškarac, muškarac stražar, straža
💂🏻‍♂	muškarac, muškarac stražar, muškarac stražar: svijetla boja kože, straža, svijetla boja kože
💂🏼‍♂	muškarac, muškarac stražar, muškarac stražar: umjereno svijetla boja kože, straža, umjereno svijetla boja kože
💂🏽‍♂	muškarac, muškarac stražar, muškarac stražar: umjerena boja kože, straža, umjerena boja kože
💂🏾‍♂	muškarac, muškarac stražar, muškarac stražar: umjereno tamna boja kože, straža, umjereno tamna boja kože
💂🏿‍♂	muškarac, muškarac stražar, muškarac stražar: tamna boja kože, straža, tamna boja kože
💂‍♀	straža, stražarka, žena
💂🏻‍♀	straža, stražarka, stražarka: svijetla boja kože, svijetla boja kože, žena
💂🏼‍♀	straža, stražarka, stražarka: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
💂🏽‍♀	straža, stražarka, stražarka: umjerena boja kože, umjerena boja kože, žena
💂🏾‍♀	straža, stražarka, stražarka: umjereno tamna boja kože, umjereno tamna boja kože, žena
💂🏿‍♀	straža, stražarka, stražarka: tamna boja kože, tamna boja kože, žena
👷	građevina, građevinski radnik, građevinski radovi, radnik, šljem
👷🏻	građevina, građevinski radnik, građevinski radnik: svijetla boja kože, građevinski radovi, radnik, svijetla boja kože, šljem
👷🏼	građevina, građevinski radnik, građevinski radnik: umjereno svijetla boja kože, građevinski radovi, radnik, umjereno svijetla boja kože, šljem
👷🏽	građevina, građevinski radnik, građevinski radnik: umjerena boja kože, građevinski radovi, radnik, umjerena boja kože, šljem
👷🏾	građevina, građevinski radnik, građevinski radnik: umjereno tamna boja kože, građevinski radovi, radnik, umjereno tamna boja kože, šljem
👷🏿	građevina, građevinski radnik, građevinski radnik: tamna boja kože, građevinski radovi, radnik, tamna boja kože, šljem
👷‍♂	građevina, građevinski radnik, građevinski radnik muško, građevinski radovi, radnik, šljem
👷🏻‍♂	građevina, građevinski radnik, građevinski radnik muško, građevinski radnik muško: svijetla boja kože, građevinski radovi, radnik, svijetla boja kože, šljem
👷🏼‍♂	građevina, građevinski radnik, građevinski radnik muško, građevinski radnik muško: umjereno svijetla boja kože, građevinski radovi, radnik, umjereno svijetla boja kože, šljem
👷🏽‍♂	građevina, građevinski radnik, građevinski radnik muško, građevinski radnik muško: umjerena boja kože, građevinski radovi, radnik, umjerena boja kože, šljem
👷🏾‍♂	građevina, građevinski radnik, građevinski radnik muško, građevinski radnik muško: umjereno tamna boja kože, građevinski radovi, radnik, umjereno tamna boja kože, šljem
👷🏿‍♂	građevina, građevinski radnik, građevinski radnik muško, građevinski radnik muško: tamna boja kože, građevinski radovi, radnik, tamna boja kože, šljem
👷‍♀	građevina, građevinska radnica, građevinski radovi, radnik, šljem
👷🏻‍♀	građevina, građevinska radnica, građevinska radnica: svijetla boja kože, građevinski radovi, radnik, svijetla boja kože, šljem
👷🏼‍♀	građevina, građevinska radnica, građevinska radnica: umjereno svijetla boja kože, građevinski radovi, radnik, umjereno svijetla boja kože, šljem
👷🏽‍♀	građevina, građevinska radnica, građevinska radnica: umjerena boja kože, građevinski radovi, radnik, umjerena boja kože, šljem
👷🏾‍♀	građevina, građevinska radnica, građevinska radnica: umjereno tamna boja kože, građevinski radovi, radnik, umjereno tamna boja kože, šljem
👷🏿‍♀	građevina, građevinska radnica, građevinska radnica: tamna boja kože, građevinski radovi, radnik, tamna boja kože, šljem
🤴	princ
🤴🏻	princ, princ: svijetla boja kože, svijetla boja kože
🤴🏼	princ, princ: umjereno svijetla boja kože, umjereno svijetla boja kože
🤴🏽	princ, princ: umjerena boja kože, umjerena boja kože
🤴🏾	princ, princ: umjereno tamna boja kože, umjereno tamna boja kože
🤴🏿	princ, princ: tamna boja kože, tamna boja kože
👸	bajka, princeza
👸🏻	bajka, princeza, princeza: svijetla boja kože, svijetla boja kože
👸🏼	bajka, princeza, princeza: umjereno svijetla boja kože, umjereno svijetla boja kože
👸🏽	bajka, princeza, princeza: umjerena boja kože, umjerena boja kože
👸🏾	bajka, princeza, princeza: umjereno tamna boja kože, umjereno tamna boja kože
👸🏿	bajka, princeza, princeza: tamna boja kože, tamna boja kože
👳	osoba sa turbanom, turban
👳🏻	osoba sa turbanom, osoba sa turbanom: svijetla boja kože, svijetla boja kože, turban
👳🏼	osoba sa turbanom, osoba sa turbanom: umjereno svijetla boja kože, turban, umjereno svijetla boja kože
👳🏽	osoba sa turbanom, osoba sa turbanom: umjerena boja kože, turban, umjerena boja kože
👳🏾	osoba sa turbanom, osoba sa turbanom: umjereno tamna boja kože, turban, umjereno tamna boja kože
👳🏿	osoba sa turbanom, osoba sa turbanom: tamna boja kože, tamna boja kože, turban
👳‍♂	muškarac, turban, čovjek sa turbanom
👳🏻‍♂	muškarac, svijetla boja kože, turban, čovjek sa turbanom, čovjek sa turbanom: svijetla boja kože
👳🏼‍♂	muškarac, turban, umjereno svijetla boja kože, čovjek sa turbanom, čovjek sa turbanom: umjereno svijetla boja kože
👳🏽‍♂	muškarac, turban, umjerena boja kože, čovjek sa turbanom, čovjek sa turbanom: umjerena boja kože
👳🏾‍♂	muškarac, turban, umjereno tamna boja kože, čovjek sa turbanom, čovjek sa turbanom: umjereno tamna boja kože
👳🏿‍♂	muškarac, tamna boja kože, turban, čovjek sa turbanom, čovjek sa turbanom: tamna boja kože
👳‍♀	turban, žena, žena sa turbanom
👳🏻‍♀	svijetla boja kože, turban, žena, žena sa turbanom, žena sa turbanom: svijetla boja kože
👳🏼‍♀	turban, umjereno svijetla boja kože, žena, žena sa turbanom, žena sa turbanom: umjereno svijetla boja kože
👳🏽‍♀	turban, umjerena boja kože, žena, žena sa turbanom, žena sa turbanom: umjerena boja kože
👳🏾‍♀	turban, umjereno tamna boja kože, žena, žena sa turbanom, žena sa turbanom: umjereno tamna boja kože
👳🏿‍♀	tamna boja kože, turban, žena, žena sa turbanom, žena sa turbanom: tamna boja kože
👲	gua pi mao, kačket, muškarac, muškarac s kineskom kapom
👲🏻	gua pi mao, kačket, muškarac, muškarac s kineskom kapom, muškarac s kineskom kapom: svijetla boja kože, svijetla boja kože
👲🏼	gua pi mao, kačket, muškarac, muškarac s kineskom kapom, muškarac s kineskom kapom: umjereno svijetla boja kože, umjereno svijetla boja kože
