😀	դեմք, ծիծաղող դեմք, քմծիծաղել
👨🏽‍💼	բիզնես, գրասենյակ, ղեկավար, միջին գույնի մաշկ, տղամարդ, տղամարդ գրասենյակի աշխատող, տղամարդ գրասենյակի աշխատող՝ միջին գույնի մաշկ
👨🏾‍💼	բիզնես, գրասենյակ, ղեկավար, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ գրասենյակի աշխատող, տղամարդ գրասենյակի աշխատող՝ միջին մուգ գույնի մաշկ
👨🏿‍💼	բիզնես, գրասենյակ, ղեկավար, մուգ գույնի մաշկ, տղամարդ, տղամարդ գրասենյակի աշխատող, տղամարդ գրասենյակի աշխատող՝ մուգ գույնի մաշկ
👩‍💼	բիզնես, գրասենյակ, կին, կին գրասենյակի աշխատող, ղեկավար
👩🏻‍💼	բաց գույնի մաշկ, բիզնես, գրասենյակ, կին, կին գրասենյակի աշխատող, կին գրասենյակի աշխատող՝ բաց գույնի մաշկ, ղեկավար
👩🏼‍💼	բիզնես, գրասենյակ, կին, կին գրասենյակի աշխատող, կին գրասենյակի աշխատող՝ միջին բաց գույնի մաշկ, ղեկավար, միջին բաց գույնի մաշկ
👩🏽‍💼	բիզնես, գրասենյակ, կին, կին գրասենյակի աշխատող, կին գրասենյակի աշխատող՝ միջին գույնի մաշկ, ղեկավար, միջին գույնի մաշկ
👩🏾‍💼	բիզնես, գրասենյակ, կին, կին գրասենյակի աշխատող, կին գրասենյակի աշխատող՝ միջին մուգ գույնի մաշկ, ղեկավար, միջին մուգ գույնի մաշկ
👩🏿‍💼	բիզնես, գրասենյակ, կին, կին գրասենյակի աշխատող, կին գրասենյակի աշխատող՝ մուգ գույնի մաշկ, ղեկավար, մուգ գույնի մաշկ
👨‍🔬	գիտնական, կենսաբան, տղամարդ, տղամարդ գիտնական, քիմիկոս
👨🏻‍🔬	բաց գույնի մաշկ, գիտնական, կենսաբան, տղամարդ, տղամարդ գիտնական՝ բաց գույնի մաշկ, քիմիկոս
👨🏼‍🔬	գիտնական, կենսաբան, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ գիտնական՝ միջին բաց գույնի մաշկ, քիմիկոս
👨🏽‍🔬	գիտնական, կենսաբան, միջին գույնի մաշկ, տղամարդ, տղամարդ գիտնական՝ միջին գույնի մաշկ, քիմիկոս
👨🏾‍🔬	գիտնական, կենսաբան, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ գիտնական՝ միջին մուգ գույնի մաշկ, քիմիկոս
👨🏿‍🔬	գիտնական, կենսաբան, մուգ գույնի մաշկ, տղամարդ, տղամարդ գիտնական՝ մուգ գույնի մաշկ, քիմիկոս
👩‍🔬	գիտնական, կենսաբան, կին, կին գիտնական, քիմիկոս
👩🏻‍🔬	բաց գույնի մաշկ, գիտնական, կենսաբան, կին, կին գիտնական՝ բաց գույնի մաշկ, քիմիկոս
👩🏼‍🔬	գիտնական, կենսաբան, կին, կին գիտնական՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, քիմիկոս
👩🏽‍🔬	գիտնական, կենսաբան, կին, կին գիտնական՝ միջին գույնի մաշկ, միջին գույնի մաշկ, քիմիկոս
👩🏾‍🔬	գիտնական, կենսաբան, կին, կին գիտնական՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, քիմիկոս
👩🏿‍🔬	գիտնական, կենսաբան, կին, կին գիտնական՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, քիմիկոս
👨‍💻	ծրագրավորող, համակարգիչ, տղամարդ, տղամարդ ծրագրավորող
👨🏻‍💻	բաց գույնի մաշկ, ծրագրավորող, համակարգիչ, տղամարդ, տղամարդ ծրագրավորող՝ բաց գույնի մաշկ
👨🏼‍💻	ծրագրավորող, համակարգիչ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ ծրագրավորող՝ միջին բաց գույնի մաշկ
👨🏽‍💻	ծրագրավորող, համակարգիչ, միջին գույնի մաշկ, տղամարդ, տղամարդ ծրագրավորող՝ միջին գույնի մաշկ
👨🏾‍💻	ծրագրավորող, համակարգիչ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ ծրագրավորող՝ միջին մուգ գույնի մաշկ
👨🏿‍💻	ծրագրավորող, համակարգիչ, մուգ գույնի մաշկ, տղամարդ, տղամարդ ծրագրավորող՝ մուգ գույնի մաշկ
👩‍💻	ծրագրավորող, կին, կին ծրագրավորող, համակարգիչ
👩🏻‍💻	բաց գույնի մաշկ, ծրագրավորող, կին, կին ծրագրավորող՝ բաց գույնի մաշկ, համակարգիչ
👩🏼‍💻	ծրագրավորող, կին, կին ծրագրավորող՝ միջին բաց գույնի մաշկ, համակարգիչ, միջին բաց գույնի մաշկ
👩🏽‍💻	ծրագրավորող, կին, կին ծրագրավորող՝ միջին գույնի մաշկ, համակարգիչ, միջին գույնի մաշկ
👩🏾‍💻	ծրագրավորող, կին, կին ծրագրավորող՝ միջին մուգ գույնի մաշկ, համակարգիչ, միջին մուգ գույնի մաշկ
👩🏿‍💻	ծրագրավորող, կին, կին ծրագրավորող՝ մուգ գույնի մաշկ, համակարգիչ, մուգ գույնի մաշկ
👨‍🎤	աստղ, երգիչ, կատարող, տղամարդ, տղամարդ երգիչ
👨🏻‍🎤	աստղ, բաց գույնի մաշկ, երգիչ, կատարող, տղամարդ, տղամարդ երգիչ՝ բաց գույնի մաշկ
👨🏼‍🎤	աստղ, երգիչ, կատարող, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ երգիչ՝ միջին բաց գույնի մաշկ
👨🏽‍🎤	աստղ, երգիչ, կատարող, միջին գույնի մաշկ, տղամարդ, տղամարդ երգիչ՝ միջին գույնի մաշկ
👨🏾‍🎤	աստղ, երգիչ, կատարող, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ երգիչ՝ միջին մուգ գույնի մաշկ
👨🏿‍🎤	աստղ, երգիչ, կատարող, մուգ գույնի մաշկ, տղամարդ, տղամարդ երգիչ՝ մուգ գույնի մաշկ
👩‍🎤	աստղ, երգիչ, երգչուհի, կատարող, կին
👩🏻‍🎤	աստղ, բաց գույնի մաշկ, երգիչ, երգչուհի, երգչուհի՝ բաց գույնի մաշկ, կատարող, կին
👩🏼‍🎤	աստղ, երգիչ, երգչուհի, երգչուհի՝ միջին բաց գույնի մաշկ, կատարող, կին, միջին բաց գույնի մաշկ
👩🏽‍🎤	աստղ, երգիչ, երգչուհի, երգչուհի՝ միջին գույնի մաշկ, կատարող, կին, միջին գույնի մաշկ
👩🏾‍🎤	աստղ, երգիչ, երգչուհի, երգչուհի՝ միջին մուգ գույնի մաշկ, կատարող, կին, միջին մուգ գույնի մաշկ
👩🏿‍🎤	աստղ, երգիչ, երգչուհի, երգչուհի՝ մուգ գույնի մաշկ, կատարող, կին, մուգ գույնի մաշկ
👨‍🎨	նկարիչ, պնակ, տղամարդ, տղամարդ նկարիչ
👨🏻‍🎨	բաց գույնի մաշկ, նկարիչ, պնակ, տղամարդ, տղամարդ նկարիչ՝ բաց գույնի մաշկ
👨🏼‍🎨	միջին բաց գույնի մաշկ, նկարիչ, պնակ, տղամարդ, տղամարդ նկարիչ՝ միջին բաց գույնի մաշկ
👨🏽‍🎨	միջին գույնի մաշկ, նկարիչ, պնակ, տղամարդ, տղամարդ նկարիչ՝ միջին գույնի մաշկ
👨🏾‍🎨	միջին մուգ գույնի մաշկ, նկարիչ, պնակ, տղամարդ, տղամարդ նկարիչ՝ միջին մուգ գույնի մաշկ
👨🏿‍🎨	մուգ գույնի մաշկ, նկարիչ, պնակ, տղամարդ, տղամարդ նկարիչ՝ մուգ գույնի մաշկ
👩‍🎨	կին, նկարիչ, նկարչուհի, պնակ
👩🏻‍🎨	բաց գույնի մաշկ, կին, նկարիչ, նկարչուհի, նկարչուհի՝ բաց գույնի մաշկ, պնակ
👩🏼‍🎨	կին, միջին բաց գույնի մաշկ, նկարիչ, նկարչուհի, նկարչուհի՝ միջին բաց գույնի մաշկ, պնակ
👩🏽‍🎨	կին, միջին գույնի մաշկ, նկարիչ, նկարչուհի, նկարչուհի՝ միջին գույնի մաշկ, պնակ
👩🏾‍🎨	կին, միջին մուգ գույնի մաշկ, նկարիչ, նկարչուհի, նկարչուհի՝ միջին մուգ գույնի մաշկ, պնակ
👩🏿‍🎨	կին, մուգ գույնի մաշկ, նկարիչ, նկարչուհի, նկարչուհի՝ մուգ գույնի մաշկ, պնակ
👨‍✈	ինքնաթիռ, տղամարդ, տղամարդ օդաչու, օդանավ, օդաչու
👨🏻‍✈	բաց գույնի մաշկ, ինքնաթիռ, տղամարդ, տղամարդ օդաչու՝ բաց գույնի մաշկ, օդանավ, օդաչու
👨🏼‍✈	ինքնաթիռ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ օդաչու՝ միջին բաց գույնի մաշկ, օդանավ, օդաչու
👨🏽‍✈	ինքնաթիռ, միջին գույնի մաշկ, տղամարդ, տղամարդ օդաչու՝ միջին գույնի մաշկ, օդանավ, օդաչու
👨🏾‍✈	ինքնաթիռ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ օդաչու՝ միջին մուգ գույնի մաշկ, օդանավ, օդաչու
👨🏿‍✈	ինքնաթիռ, մուգ գույնի մաշկ, տղամարդ, տղամարդ օդաչու՝ մուգ գույնի մաշկ, օդանավ, օդաչու
👩‍✈	ինքնաթիռ, կին, կին օդաչու, օդանավ, օդաչու
👩🏻‍✈	բաց գույնի մաշկ, ինքնաթիռ, կին, կին օդաչու՝ բաց գույնի մաշկ, օդանավ, օդաչու
👩🏼‍✈	ինքնաթիռ, կին, կին օդաչու՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, օդանավ, օդաչու
👩🏽‍✈	ինքնաթիռ, կին, կին օդաչու՝ միջին գույնի մաշկ, միջին գույնի մաշկ, օդանավ, օդաչու
👩🏾‍✈	ինքնաթիռ, կին, կին օդաչու՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, օդանավ, օդաչու
👩🏿‍✈	ինքնաթիռ, կին, կին օդաչու՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, օդանավ, օդաչու
👨‍🚀	տիեզերագնաց, տիեզերանավ, տիեզերք, տղամարդ, տղամարդ տիեզերագնաց
👨🏻‍🚀	բաց գույնի մաշկ, տիեզերագնաց, տիեզերանավ, տիեզերք, տղամարդ, տղամարդ տիեզերագնաց՝ բաց գույնի մաշկ
👨🏼‍🚀	միջին բաց գույնի մաշկ, տիեզերագնաց, տիեզերանավ, տիեզերք, տղամարդ, տղամարդ տիեզերագնաց՝ միջին բաց գույնի մաշկ
👨🏽‍🚀	միջին գույնի մաշկ, տիեզերագնաց, տիեզերանավ, տիեզերք, տղամարդ, տղամարդ տիեզերագնաց՝ միջին գույնի մաշկ
